"","Site","Year","Date","Plot","Location","Snow_cover","Water_cover","Land_cover","Total_cover","Observer","Notes"
"128","barr",2011,"29-May-11","brw5","b10",75,0,25,100,"jcunningham",NA
"129","barr",2011,"29-May-11","brw5","b12",60,0,40,100,"jcunningham",NA
"130","barr",2011,"29-May-11","brw5","b2",100,0,0,100,"jcunningham",NA
"131","barr",2011,"29-May-11","brw5","b4",95,0,5,100,"jcunningham",NA
"132","barr",2011,"29-May-11","brw5","b6",90,0,10,100,"jcunningham",NA
"133","barr",2011,"29-May-11","brw5","b8",90,0,10,100,"jcunningham",NA
"134","barr",2011,"29-May-11","brw5","d10",70,0,30,100,"jcunningham",NA
"135","barr",2011,"29-May-11","brw5","d12",100,0,0,100,"jcunningham",NA
"136","barr",2011,"29-May-11","brw5","d2",95,0,5,100,"jcunningham",NA
"137","barr",2011,"29-May-11","brw5","d4",85,0,15,100,"jcunningham",NA
"138","barr",2011,"29-May-11","brw5","d6",30,0,70,100,"jcunningham",NA
"139","barr",2011,"29-May-11","brw5","d8",55,0,45,100,"jcunningham",NA
"140","barr",2011,"29-May-11","brw5","f10",65,0,35,100,"jcunningham",NA
"141","barr",2011,"29-May-11","brw5","f12",90,0,10,100,"jcunningham",NA
"142","barr",2011,"29-May-11","brw5","f2",90,0,10,100,"jcunningham",NA
"143","barr",2011,"29-May-11","brw5","f4",90,0,10,100,"jcunningham",NA
"144","barr",2011,"29-May-11","brw5","f6",50,0,50,100,"jcunningham",NA
"145","barr",2011,"29-May-11","brw5","f8",75,0,25,100,"jcunningham",NA
"146","barr",2011,"29-May-11","brw5","h10",70,5,25,100,"jcunningham",NA
"147","barr",2011,"29-May-11","brw5","h12",50,0,50,100,"jcunningham",NA
"148","barr",2011,"29-May-11","brw5","h2",50,0,50,100,"jcunningham",NA
"149","barr",2011,"29-May-11","brw5","h4",85,0,15,100,"jcunningham",NA
"150","barr",2011,"29-May-11","brw5","h6",60,0,40,100,"jcunningham",NA
"151","barr",2011,"29-May-11","brw5","h8",90,0,10,100,"jcunningham",NA
"152","barr",2011,"29-May-11","brw5","j10",70,0,30,100,"jcunningham",NA
"153","barr",2011,"29-May-11","brw5","j12",75,0,25,100,"jcunningham",NA
"154","barr",2011,"29-May-11","brw5","j2",65,0,35,100,"jcunningham",NA
"155","barr",2011,"29-May-11","brw5","j4",90,0,10,100,"jcunningham",NA
"156","barr",2011,"29-May-11","brw5","j6",75,0,25,100,"jcunningham",NA
"157","barr",2011,"29-May-11","brw5","j8",70,5,25,100,"jcunningham",NA
"158","barr",2011,"29-May-11","brw5","l10",80,0,20,100,"jcunningham",NA
"159","barr",2011,"29-May-11","brw5","l12",95,0,5,100,"jcunningham",NA
"160","barr",2011,"29-May-11","brw5","l2",80,0,20,100,"jcunningham",NA
"161","barr",2011,"29-May-11","brw5","l4",75,0,25,100,"jcunningham",NA
"162","barr",2011,"29-May-11","brw5","l6",85,0,15,100,"jcunningham",NA
"163","barr",2011,"29-May-11","brw5","l8",75,0,25,100,"jcunningham",NA
"164","barr",2011,"29-May-11","brw8","b10",90,0,10,100,"jcunningham",NA
"165","barr",2011,"29-May-11","brw8","b12",50,30,20,100,"jcunningham",NA
"166","barr",2011,"29-May-11","brw8","b2",75,20,5,100,"jcunningham",NA
"167","barr",2011,"29-May-11","brw8","b4",50,15,35,100,"jcunningham",NA
"168","barr",2011,"29-May-11","brw8","b6",35,15,50,100,"jcunningham",NA
"169","barr",2011,"29-May-11","brw8","b8",15,40,45,100,"jcunningham",NA
"170","barr",2011,"29-May-11","brw8","d10",45,5,50,100,"jcunningham",NA
"171","barr",2011,"29-May-11","brw8","d12",35,5,60,100,"jcunningham",NA
"172","barr",2011,"29-May-11","brw8","d2",75,5,20,100,"jcunningham",NA
"173","barr",2011,"29-May-11","brw8","d4",45,25,30,100,"jcunningham",NA
"174","barr",2011,"29-May-11","brw8","d6",30,10,60,100,"jcunningham",NA
"175","barr",2011,"29-May-11","brw8","d8",50,5,45,100,"jcunningham",NA
"176","barr",2011,"29-May-11","brw8","f10",35,35,30,100,"jcunningham",NA
"177","barr",2011,"29-May-11","brw8","f12",25,40,35,100,"jcunningham",NA
"178","barr",2011,"29-May-11","brw8","f2",70,20,10,100,"jcunningham",NA
"179","barr",2011,"29-May-11","brw8","f4",70,20,10,100,"jcunningham",NA
"180","barr",2011,"29-May-11","brw8","f6",45,5,50,100,"jcunningham",NA
"181","barr",2011,"29-May-11","brw8","f8",50,10,40,100,"jcunningham",NA
"182","barr",2011,"29-May-11","brw8","h10",80,5,15,100,"jcunningham",NA
"183","barr",2011,"29-May-11","brw8","h12",80,15,5,100,"jcunningham",NA
"184","barr",2011,"29-May-11","brw8","h2",75,5,20,100,"jcunningham",NA
"185","barr",2011,"29-May-11","brw8","h4",80,10,10,100,"jcunningham",NA
"186","barr",2011,"29-May-11","brw8","h6",80,5,15,100,"jcunningham",NA
"187","barr",2011,"29-May-11","brw8","h8",70,5,25,100,"jcunningham",NA
"188","barr",2011,"29-May-11","brw8","j10",75,10,15,100,"jcunningham",NA
"189","barr",2011,"29-May-11","brw8","j12",20,15,65,100,"jcunningham",NA
"190","barr",2011,"29-May-11","brw8","j2",75,5,20,100,"jcunningham",NA
"191","barr",2011,"29-May-11","brw8","j4",85,0,15,100,"jcunningham",NA
"192","barr",2011,"29-May-11","brw8","j6",60,10,30,100,"jcunningham",NA
"193","barr",2011,"29-May-11","brw8","j8",60,0,40,100,"jcunningham",NA
"194","barr",2011,"29-May-11","brw8","l10",45,15,40,100,"jcunningham",NA
"195","barr",2011,"29-May-11","brw8","l12",20,10,70,100,"jcunningham",NA
"196","barr",2011,"29-May-11","brw8","l2",40,5,55,100,"jcunningham",NA
"197","barr",2011,"29-May-11","brw8","l4",75,0,25,100,"jcunningham",NA
"198","barr",2011,"29-May-11","brw8","l6",85,0,15,100,"jcunningham",NA
"199","barr",2011,"29-May-11","brw8","l8",80,5,15,100,"jcunningham",NA
"200","barr",2011,"31-May-11","brw3","b10",90,5,5,100,"abankert",NA
"201","barr",2011,"31-May-11","brw3","b12",50,0,50,100,"abankert",NA
"202","barr",2011,"31-May-11","brw3","b2",70,0,30,100,"abankert",NA
"203","barr",2011,"31-May-11","brw3","b4",80,0,20,100,"abankert",NA
"204","barr",2011,"31-May-11","brw3","b6",80,0,20,100,"abankert",NA
"205","barr",2011,"31-May-11","brw3","b8",80,0,20,100,"abankert",NA
"206","barr",2011,"31-May-11","brw3","d10",NA,0,100,100,"abankert",NA
"207","barr",2011,"31-May-11","brw3","d12",70,0,30,100,"abankert",NA
"208","barr",2011,"31-May-11","brw3","d2",80,0,20,100,"abankert",NA
"209","barr",2011,"31-May-11","brw3","d4",90,0,10,100,"abankert",NA
"210","barr",2011,"31-May-11","brw3","d6",100,0,0,100,"abankert",NA
"211","barr",2011,"31-May-11","brw3","d8",80,0,20,100,"abankert",NA
"212","barr",2011,"31-May-11","brw3","f10",100,0,0,100,"abankert",NA
"213","barr",2011,"31-May-11","brw3","f12",90,0,10,100,"abankert",NA
"214","barr",2011,"31-May-11","brw3","f2",90,0,10,100,"abankert",NA
"215","barr",2011,"31-May-11","brw3","f4",70,0,30,100,"abankert",NA
"216","barr",2011,"31-May-11","brw3","f6",90,0,10,100,"abankert",NA
"217","barr",2011,"31-May-11","brw3","f8",100,0,0,100,"abankert",NA
"218","barr",2011,"31-May-11","brw3","h10",90,0,10,100,"abankert",NA
"219","barr",2011,"31-May-11","brw3","h12",90,0,10,100,"abankert",NA
"220","barr",2011,"31-May-11","brw3","h2",100,0,0,100,"abankert",NA
"221","barr",2011,"31-May-11","brw3","h4",80,0,20,100,"abankert",NA
"222","barr",2011,"31-May-11","brw3","h6",50,0,50,100,"abankert",NA
"223","barr",2011,"31-May-11","brw3","h8",100,0,0,100,"abankert",NA
"224","barr",2011,"31-May-11","brw3","j10",100,0,0,100,"abankert",NA
"225","barr",2011,"31-May-11","brw3","j12",70,0,30,100,"abankert",NA
"226","barr",2011,"31-May-11","brw3","j2",100,0,0,100,"abankert",NA
"227","barr",2011,"31-May-11","brw3","j4",80,0,20,100,"abankert",NA
"228","barr",2011,"31-May-11","brw3","j6",60,0,40,100,"abankert",NA
"229","barr",2011,"31-May-11","brw3","j8",70,0,30,100,"abankert",NA
"230","barr",2011,"31-May-11","brw3","l10",80,0,20,100,"abankert",NA
"231","barr",2011,"31-May-11","brw3","l12",80,0,20,100,"abankert",NA
"232","barr",2011,"31-May-11","brw3","l2",100,0,0,100,"abankert",NA
"233","barr",2011,"31-May-11","brw3","l4",90,0,10,100,"abankert",NA
"234","barr",2011,"31-May-11","brw3","l6",70,0,30,100,"abankert",NA
"235","barr",2011,"31-May-11","brw3","l8",70,0,30,100,"abankert",NA
"236","barr",2011,"31-May-11","brw6","b10",5,20,75,100,"abankert",NA
"237","barr",2011,"31-May-11","brw6","b12",30,15,55,100,"abankert",NA
"238","barr",2011,"31-May-11","brw6","b2",50,10,40,100,"abankert",NA
"239","barr",2011,"31-May-11","brw6","b4",70,0,30,100,"abankert",NA
"240","barr",2011,"31-May-11","brw6","b6",90,0,10,100,"abankert",NA
"241","barr",2011,"31-May-11","brw6","b8",20,10,70,100,"abankert",NA
"242","barr",2011,"31-May-11","brw6","d10",40,5,55,100,"abankert",NA
"243","barr",2011,"31-May-11","brw6","d12",30,10,60,100,"abankert",NA
"244","barr",2011,"31-May-11","brw6","d2",0,5,95,100,"abankert",NA
"245","barr",2011,"31-May-11","brw6","d4",0,5,95,100,"abankert",NA
"246","barr",2011,"31-May-11","brw6","d6",80,10,10,100,"abankert",NA
"247","barr",2011,"31-May-11","brw6","d8",25,15,60,100,"abankert",NA
"248","barr",2011,"31-May-11","brw6","f10",15,20,65,100,"abankert",NA
"249","barr",2011,"31-May-11","brw6","f12",30,5,65,100,"abankert",NA
"250","barr",2011,"31-May-11","brw6","f2",0,10,90,100,"abankert",NA
"251","barr",2011,"31-May-11","brw6","f4",0,20,80,100,"abankert",NA
"252","barr",2011,"31-May-11","brw6","f6",10,10,80,100,"abankert",NA
"253","barr",2011,"31-May-11","brw6","f8",90,5,5,100,"abankert",NA
"254","barr",2011,"31-May-11","brw6","h10",25,10,65,100,"abankert",NA
"255","barr",2011,"31-May-11","brw6","h12",5,10,85,100,"abankert",NA
"256","barr",2011,"31-May-11","brw6","h2",0,5,95,100,"abankert",NA
"257","barr",2011,"31-May-11","brw6","h4",0,10,90,100,"abankert",NA
"258","barr",2011,"31-May-11","brw6","h6",0,5,95,100,"abankert",NA
"259","barr",2011,"31-May-11","brw6","h8",90,0,10,100,"abankert",NA
"260","barr",2011,"31-May-11","brw6","j10",30,50,20,100,"abankert",NA
"261","barr",2011,"31-May-11","brw6","j12",5,20,75,100,"abankert",NA
"262","barr",2011,"31-May-11","brw6","j8",20,10,70,100,"abankert",NA
"263","barr",2011,"31-May-11","brw6","l10",100,0,0,100,"abankert",NA
"264","barr",2011,"31-May-11","brw6","l12",25,5,70,100,"abankert",NA
"265","barr",2011,"31-May-11","brw6","l8",0,15,85,100,"abankert",NA
"266","barr",2011,"31-May-11","brw8","b10",95,0,5,100,"adoll",NA
"267","barr",2011,"31-May-11","brw8","b12",40,40,20,100,"adoll",NA
"268","barr",2011,"31-May-11","brw8","b2",75,20,5,100,"adoll",NA
"269","barr",2011,"31-May-11","brw8","b4",50,20,30,100,"adoll",NA
"270","barr",2011,"31-May-11","brw8","b6",20,5,75,100,"adoll",NA
"271","barr",2011,"31-May-11","brw8","b8",20,10,70,100,"adoll",NA
"272","barr",2011,"31-May-11","brw8","d10",20,5,75,100,"adoll",NA
"273","barr",2011,"31-May-11","brw8","d12",10,5,85,100,"adoll",NA
"274","barr",2011,"31-May-11","brw8","d2",75,15,10,100,"adoll",NA
"275","barr",2011,"31-May-11","brw8","d4",40,30,30,100,"adoll",NA
"276","barr",2011,"31-May-11","brw8","d6",10,10,80,100,"adoll",NA
"277","barr",2011,"31-May-11","brw8","d8",30,10,60,100,"adoll",NA
"278","barr",2011,"31-May-11","brw8","f10",30,40,30,100,"adoll",NA
"279","barr",2011,"31-May-11","brw8","f12",15,65,20,100,"adoll",NA
"280","barr",2011,"31-May-11","brw8","f2",60,20,20,100,"adoll",NA
"281","barr",2011,"31-May-11","brw8","f4",70,20,10,100,"adoll",NA
"282","barr",2011,"31-May-11","brw8","f6",20,10,70,100,"adoll",NA
"283","barr",2011,"31-May-11","brw8","f8",35,10,55,100,"adoll",NA
"284","barr",2011,"31-May-11","brw8","h10",80,10,10,100,"adoll",NA
"285","barr",2011,"31-May-11","brw8","h12",40,40,20,100,"adoll",NA
"286","barr",2011,"31-May-11","brw8","h2",30,40,30,100,"adoll",NA
"287","barr",2011,"31-May-11","brw8","h4",40,50,10,100,"adoll",NA
"288","barr",2011,"31-May-11","brw8","h6",75,20,5,100,"adoll",NA
"289","barr",2011,"31-May-11","brw8","h8",70,10,20,100,"adoll",NA
"290","barr",2011,"31-May-11","brw8","j10",40,20,40,100,"adoll",NA
"291","barr",2011,"31-May-11","brw8","j12",15,10,75,100,"adoll",NA
"292","barr",2011,"31-May-11","brw8","j2",70,20,10,100,"adoll",NA
"293","barr",2011,"31-May-11","brw8","j4",40,15,45,100,"adoll",NA
"294","barr",2011,"31-May-11","brw8","j6",60,15,25,100,"adoll",NA
"295","barr",2011,"31-May-11","brw8","j8",35,30,35,100,"adoll",NA
"296","barr",2011,"31-May-11","brw8","l10",25,25,50,100,"adoll",NA
"297","barr",2011,"31-May-11","brw8","l12",10,10,80,100,"adoll",NA
"298","barr",2011,"31-May-11","brw8","l2",10,50,40,100,"adoll",NA
"299","barr",2011,"31-May-11","brw8","l4",70,0,30,100,"adoll",NA
"300","barr",2011,"31-May-11","brw8","l6",80,5,15,100,"adoll",NA
"301","barr",2011,"31-May-11","brw8","l8",70,10,20,100,"adoll",NA
"302","barr",2011,"31-May-11","brw2","b10",70,0,30,100,"bhill",NA
"303","barr",2011,"31-May-11","brw2","b12",85,0,15,100,"bhill",NA
"304","barr",2011,"31-May-11","brw2","b2",15,0,85,100,"bhill",NA
"305","barr",2011,"31-May-11","brw2","b4",25,0,75,100,"bhill",NA
"306","barr",2011,"31-May-11","brw2","b6",20,0,80,100,"bhill",NA
"307","barr",2011,"31-May-11","brw2","b8",15,5,80,100,"bhill",NA
"308","barr",2011,"31-May-11","brw2","d10",30,10,60,100,"bhill",NA
"309","barr",2011,"31-May-11","brw2","d12",20,15,65,100,"bhill",NA
"310","barr",2011,"31-May-11","brw2","d2",5,5,90,100,"bhill",NA
"311","barr",2011,"31-May-11","brw2","d4",10,5,85,100,"bhill",NA
"312","barr",2011,"31-May-11","brw2","d6",10,10,80,100,"bhill",NA
"313","barr",2011,"31-May-11","brw2","d8",10,5,85,100,"bhill",NA
"314","barr",2011,"31-May-11","brw2","f10",20,15,65,100,"bhill",NA
"315","barr",2011,"31-May-11","brw2","f12",50,0,50,100,"bhill",NA
"316","barr",2011,"31-May-11","brw2","f2",10,0,90,100,"bhill",NA
"317","barr",2011,"31-May-11","brw2","f4",15,5,80,100,"bhill",NA
"318","barr",2011,"31-May-11","brw2","f6",25,5,70,100,"bhill",NA
"319","barr",2011,"31-May-11","brw2","f8",10,10,80,100,"bhill",NA
"320","barr",2011,"31-May-11","brw2","h10",45,5,50,100,"bhill",NA
"321","barr",2011,"31-May-11","brw2","h12",85,0,15,100,"bhill",NA
"322","barr",2011,"31-May-11","brw2","h2",15,5,80,100,"bhill",NA
"323","barr",2011,"31-May-11","brw2","h4",45,5,50,100,"bhill",NA
"324","barr",2011,"31-May-11","brw2","h6",5,10,85,100,"bhill",NA
"325","barr",2011,"31-May-11","brw2","h8",5,15,80,100,"bhill",NA
"326","barr",2011,"31-May-11","brw2","j10",30,40,30,100,"bhill",NA
"327","barr",2011,"31-May-11","brw2","j12",60,0,40,100,"bhill",NA
"328","barr",2011,"31-May-11","brw2","j2",20,10,70,100,"bhill",NA
"329","barr",2011,"31-May-11","brw2","j4",10,5,85,100,"bhill",NA
"330","barr",2011,"31-May-11","brw2","j6",10,10,80,100,"bhill",NA
"331","barr",2011,"31-May-11","brw2","j8",40,0,60,100,"bhill",NA
"332","barr",2011,"31-May-11","brw2","l10",30,40,30,100,"bhill",NA
"333","barr",2011,"31-May-11","brw2","l12",25,20,55,100,"bhill",NA
"334","barr",2011,"31-May-11","brw2","l2",50,5,45,100,"bhill",NA
"335","barr",2011,"31-May-11","brw2","l4",40,0,60,100,"bhill",NA
"336","barr",2011,"31-May-11","brw2","l6",10,5,85,100,"bhill",NA
"337","barr",2011,"31-May-11","brw2","l8",75,0,25,100,"bhill",NA
"338","barr",2011,"31-May-11","brw1","b10",25,60,15,100,"jcunningham",NA
"339","barr",2011,"31-May-11","brw1","b12",30,65,5,100,"jcunningham",NA
"340","barr",2011,"31-May-11","brw1","b2",30,30,40,100,"jcunningham",NA
"341","barr",2011,"31-May-11","brw1","b4",55,30,15,100,"jcunningham",NA
"342","barr",2011,"31-May-11","brw1","b6",30,60,10,100,"jcunningham",NA
"343","barr",2011,"31-May-11","brw1","b8",50,35,15,100,"jcunningham",NA
"344","barr",2011,"31-May-11","brw1","d10",25,75,0,100,"jcunningham",NA
"345","barr",2011,"31-May-11","brw1","d12",15,85,0,100,"jcunningham",NA
"346","barr",2011,"31-May-11","brw1","d2",65,25,10,100,"jcunningham",NA
"347","barr",2011,"31-May-11","brw1","d4",45,45,10,100,"jcunningham",NA
"348","barr",2011,"31-May-11","brw1","d6",40,40,20,100,"jcunningham",NA
"349","barr",2011,"31-May-11","brw1","d8",55,30,15,100,"jcunningham",NA
"350","barr",2011,"31-May-11","brw1","f10",30,60,10,100,"jcunningham",NA
